"day";"time";"temp";"activ";"sex";"sp"
"92";347;0;36.93;0;"F";"sp1"
"93";347;10;36.83;0;"M";"sp1"
"94";347;20;36.8;0;"M";"sp1"
"95";347;30;36.75;0;"F";"sp1"
"96";347;40;36.71;0;"F";"sp1"
"97";347;50;36.73;0;"F";"sp1"
"98";347;100;36.75;0;"F";"sp1"
"99";347;110;36.72;0;"F";"sp1"
"100";347;120;36.76;0;"F";"sp1"
"101";347;130;36.7;0;"F";"sp1"
"102";347;140;36.82;0;"M";"sp1"
"103";347;150;36.88;0;"F";"sp1"
"104";347;200;36.94;0;"M";"sp1"
"105";347;210;36.79;0;"F";"sp1"
"106";347;220;36.78;0;"F";"sp1"
"107";NA;NA;36.8;0;"F";"sp1"
"108";347;240;36.82;0;"F";"sp1"
"109";347;250;NA;0;"F";"sp1"
"110";347;300;36.86;0;"M";"sp1"
"111";347;310;36.88;0;"M";"sp1"
"112";347;320;36.93;0;"M";"sp1"
"113";347;330;36.97;0;"F";"sp1"
"114";347;340;37.15;1;"F";"sp1"
"115";307;930;36.58;0;"M";"sp2"
"116";307;940;36.73;0;"F";"sp2"
"117";307;950;36.93;0;"M";"sp2"
"118";307;1000;37.15;0;"F";"sp2"
"119";307;1010;37.23;0;"F";"sp2"
"120";307;1020;37.24;0;"M";"sp2"
"121";NA;1030;37.24;0;"F";"sp2"
"122";307;NA;36.9;0;"M";"sp2"
"123";307;1050;36.95;0;"F";"sp2"
"124";307;1100;36.89;0;"M";"sp2"
"125";307;1110;36.95;0;"M";"sp2"
"126";307;1120;37;0;"M";"sp2"
"127";307;1130;36.9;0;"M";"sp2"
"128";307;1140;36.99;0;"F";"sp2"
"129";307;1150;36.99;0;"F";"sp2"
"130";307;1200;37.01;0;"M";"sp2"
"131";307;1210;37.04;0;"F";"sp2"
"132";307;1220;37.04;0;"F";"sp2"
"133";307;1230;NA;0;"M";"sp2"
"134";307;1240;NA;0;"F";"sp2"
"135";307;1250;36.98;0;"F";"sp2"
"136";307;1300;37.01;0;"F";"sp2"
"137";307;NA;36.97;0;"M";"sp2"
"138";307;1320;36.97;0;"F";"sp2"
"139";307;NA;37.12;0;"F";"sp2"
"140";307;1340;37.13;0;"F";"sp2"
"141";307;NA;NA;0;"M";"sp2"
"142";307;1400;NA;0;"F";"sp2"
"143";307;1410;37.17;0;"M";"sp2"
"144";307;1420;37.12;0;"F";"sp2"
"145";307;1430;37.12;0;"F";"sp2"
"146";307;1440;NA;0;"M";"sp2"
"147";307;1450;37.28;0;"F";"sp2"
"148";307;1500;37.28;0;"F";"sp2"
"149";307;NA;37.44;0;"F";"sp2"
"150";307;1520;NA;0;"F";"sp2"
"151";307;1530;37.64;0;"M";"sp2"
"152";307;1540;37.51;0;"F";"sp2"
"153";NA;1550;37.98;1;"F";"sp2"
"154";307;1600;38.02;1;"M";"sp2"
"155";307;1610;38;1;"M";"sp2"
"156";307;1620;38.24;1;"F";"sp2"
"157";307;1630;38.1;1;"M";"sp2"
"158";307;1640;38.24;1;"F";"sp2"
"159";307;1650;38.11;1;"F";"sp2"
"160";307;1700;NA;1;"M";"sp2"
"161";307;1710;38.11;1;"M";"sp2"
"162";307;1720;38.01;1;"M";"sp2"
"163";307;1730;37.91;1;"F";"sp2"
"164";307;1740;37.96;1;"M";"sp2"
"165";307;1750;38.03;1;"F";"sp2"
"166";307;1800;38.17;1;"M";"sp2"
"167";307;1810;NA;1;"M";"sp2"
"168";307;1820;38.18;1;"F";"sp2"
"169";307;1830;38.15;1;"M";"sp2"
"170";307;1840;38.04;1;"M";"sp2"
"171";307;1850;37.96;1;"F";"sp2"
"172";307;1900;37.84;1;"F";"sp2"
"173";307;1910;37.83;1;"F";"sp2"
"174";307;1920;37.84;1;"F";"sp2"
"175";307;1930;NA;1;"F";"sp2"
"176";307;1940;37.76;1;"F";"sp2"
"177";307;1950;37.76;1;"F";"sp2"
"178";307;2000;37.64;1;"M";"sp2"
"179";307;2010;37.63;1;"F";"sp2"
"180";307;2020;38.06;1;"F";"sp2"
"181";307;2030;38.19;1;"M";"sp2"
"182";307;2040;38.35;1;"M";"sp2"
"183";NA;2050;NA;1;"F";"sp2"
"184";307;2100;37.86;1;"F";"sp2"
"185";307;2110;37.95;1;"F";"sp2"
"186";307;2120;37.95;1;"M";"sp2"
"187";307;2130;37.76;1;"M";"sp2"
"188";307;NA;37.6;1;"M";"sp2"
"189";307;2150;37.89;1;"M";"sp2"
"190";307;2200;37.86;1;"F";"sp2"
"191";307;2210;37.71;1;"M";"sp2"
"192";307;2220;37.78;1;"F";"sp2"
"193";307;2230;37.82;1;"M";"sp2"
"194";307;2240;37.76;1;"F";"sp2"
"195";307;NA;37.81;1;"M";"sp2"
"196";307;2300;37.84;1;"M";"sp2"
"197";307;2310;38.01;1;"F";"sp2"
"198";307;2320;38.1;1;"M";"sp2"
"199";307;2330;38.15;1;"F";"sp2"
"200";NA;2340;NA;1;"M";"sp2"
"201";307;2350;37.64;1;"M";"sp2"
"202";308;0;37.7;1;"F";"sp2"
"203";308;10;37.46;1;"M";"sp2"
"204";308;20;37.41;1;"M";"sp2"
"205";308;30;37.46;1;"M";"sp2"
"206";308;40;37.56;1;"F";"sp2"
"207";308;NA;NA;1;"F";"sp2"
"208";308;100;37.75;1;"F";"sp2"
"209";308;110;37.76;1;"M";"sp2"
"210";308;120;37.73;1;"F";"sp2"
"211";308;130;37.77;1;"M";"sp2"
"212";308;140;38.01;1;"F";"sp2"
"213";308;150;38.04;1;"F";"sp2"
"214";308;200;38.07;1;"F";"sp2"
