# Journal Data Filtered By:  Selected JCR Year: 2016 Selected Editions: SCIE,SSCI Selected Categories: 'BIODIVERSITY%20CONSERVATION','BIOLOGY','ECOLOGY','ENTOMOLOGY','EVOLUTIONARY%20BIOLOGY','ORNITHOLOGY','ZOOLOGY' Selected Category Scheme: WoS
# Copyright © 2017 Clarivate Analytics
Rank;Full.Journal.Title;JCR.Abbreviated.Title;Total.Cites;Journal.Impact.Factor;Impact.Factor.without.Journal.Self.Cites;Citable.Items;Eigenfactor.Score;X..Articles.in.Citable.Items
21;OECOLOGIA;OECOLOGIA;32067;3.13;3.006;311;0.02739;98.39
23;ECOLOGICAL MODELLING;ECOL MODEL;16368;2.363;2.093;305;0.01769;95.08
24;ANIMAL BEHAVIOUR;ANIM BEHAV;24705;2.869;2.572;301;0.02449;99.34
25;PAKISTAN JOURNAL OF ZOOLOGY;PAK J ZOOL;994;0.491;0.254;281;0.0015;100
26;COMPUTERS IN BIOLOGY AND MEDICINE;COMPUT BIOL MED;3760;1.836;1.65;274;0.00653;98.54
27;Genome Biology and Evolution;GENOME BIOL EVOL;4487;3.979;3.684;271;0.02169;99.26
28;BIOLOGICAL INVASIONS;BIOL INVASIONS;7445;2.473;2.149;270;0.01345;99.26
29;BMC EVOLUTIONARY BIOLOGY;BMC EVOL BIOL;11606;3.221;3.104;266;0.02753;100
29;MOLECULAR BIOLOGY AND EVOLUTION;MOL BIOL EVOL;42339;6.202;5.814;266;0.10424;99.62
31;PEST MANAGEMENT SCIENCE;PEST MANAG SCI;7943;3.253;2.895;263;0.01286;93.54
32;Biology Letters;BIOL LETTERS;8242;3.089;2.983;258;0.02171;97.67
33;ISME Journal;ISME J;17083;9.664;9.181;255;0.05686;98.43
34;DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY;DEV COMP IMMUNOL;6968;3.218;2.66;242;0.01041;98.35
35;EVOLUTION;EVOLUTION;32277;4.201;3.838;234;0.03874;99.57
36;PLOS BIOLOGY;PLOS BIOL;26893;9.797;9.624;229;0.06738;99.56
37;BEHAVIORAL ECOLOGY;BEHAV ECOL;9161;3.311;3.031;216;0.0136;97.69
38;BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY;BIOL J LINN SOC;8900;2.288;2.055;209;0.01095;93.78
38;Biology Open;BIOL OPEN;1457;2.095;2.051;209;0.00825;100
38;JOURNAL OF EVOLUTIONARY BIOLOGY;J EVOLUTION BIOL;10422;2.792;2.604;209;0.0204;98.56
41;JOURNAL OF ARID ENVIRONMENTS;J ARID ENVIRON;8129;1.835;1.68;207;0.00763;97.58
42;JOURNAL OF BIOGEOGRAPHY;J BIOGEOGR;13631;4.248;3.954;205;0.02331;99.02
43;ECOLOGICAL APPLICATIONS;ECOL APPL;19666;4.314;4.088;202;0.02234;100
44;BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY;BEHAV ECOL SOCIOBIOL;11591;2.185;2.008;200;0.01312;96.5
45;JOURNAL OF MEDICAL ENTOMOLOGY;J MED ENTOMOL;7444;1.65;1.338;199;0.00689;97.99
46;BIOCHEMICAL SYSTEMATICS AND ECOLOGY;BIOCHEM SYST ECOL;3882;0.929;0.809;197;0.00388;100
47;REPRODUCTION FERTILITY AND DEVELOPMENT;REPROD FERT DEVELOP;3370;2.656;2.448;192;0.00534;91.67
48;AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY;AM J PHYS ANTHROPOL;11951;2.552;2.055;191;0.01236;100
49;ECOLOGICAL ECONOMICS;ECOL ECON;17659;2.965;2.665;190;0.01913;98.42
49;POLAR BIOLOGY;POLAR BIOL;5311;1.949;1.581;190;0.00736;97.89
51;Bioscience Journal;BIOSCI J;544;0.267;0.229;189;0.00141;98.41
52;FUNCTIONAL ECOLOGY;FUNCT ECOL;13390;5.63;5.321;188;0.02198;88.83
53;ECOLOGY AND SOCIETY;ECOL SOC;8008;2.842;2.39;187;0.01344;98.93
53;ENVIRONMENTAL ENTOMOLOGY;ENVIRON ENTOMOL;7465;1.601;1.402;187;0.00578;99.47
55;JOURNAL OF APPLIED ECOLOGY;J APPL ECOL;16046;5.301;5.032;186;0.02329;95.7
56;JOURNAL OF COMPARATIVE NEUROLOGY;J COMP NEUROL;29871;3.266;3.017;184;0.0183;90.22
57;OIKOS;OIKOS;20588;4.03;3.863;182;0.01981;98.9
58;MICROBIAL ECOLOGY;MICROB ECOL;9322;3.63;3.499;180;0.01274;99.44
59;BIOLOGICAL CONTROL;BIOL CONTROL;6628;2.307;2.043;178;0.0072;96.07
60;BEHAVIOURAL PROCESSES;BEHAV PROCESS;3928;1.746;1.616;176;0.00734;100
61;ECOTOXICOLOGY;ECOTOXICOLOGY;5180;1.951;1.809;170;0.0079;99.41
62;BIOLOGIA;BIOLOGIA;1756;0.759;0.689;168;0.00249;93.45
63;JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY;J EXP MAR BIOL ECOL;14583;1.937;1.828;167;0.01359;99.4
64;FLORIDA ENTOMOLOGIST;FLA ENTOMOL;2767;0.964;0.844;162;0.00348;100
65;BIODIVERSITY AND CONSERVATION;BIODIVERS CONSERV;9312;2.265;2.111;161;0.01129;89.44
65;JOURNAL OF MAMMALOGY;J MAMMAL;7507;1.63;1.443;161;0.00648;99.38
65;LANDSCAPE ECOLOGY;LANDSCAPE ECOL;7376;3.615;3.252;161;0.01044;98.14
68;JOURNAL OF ECOLOGY;J ECOL;17195;5.813;5.38;160;0.02567;98.75
68;Methods in Ecology and Evolution;METHODS ECOL EVOL;6546;5.708;5.369;160;0.03126;96.88
70;APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH;APPL ECOL ENV RES;459;0.681;0.563;152;0.00058;100
70;REVISTA DE BIOLOGIA TROPICAL;REV BIOL TROP;2017;0.495;0.423;152;0.00209;99.34
72;AMERICAN NATURALIST;AM NAT;27892;4.167;4.003;150;0.02315;100
73;COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY;COMP BIOCHEM PHYS A;9325;1.812;1.676;147;0.00769;92.52
74;BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH;BRAZ J MED BIOL RES;4568;1.578;1.555;146;0.00399;95.21
74;ECOLOGY LETTERS;ECOL LETT;27777;9.449;9.189;146;0.05894;91.78
74;MATHEMATICAL BIOSCIENCES;MATH BIOSCI;4736;1.246;1.13;146;0.00481;99.32
77;BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY;BRAZ ARCH BIOL TECHN;1826;0.644;0.62;145;0.00165;100
77;JOURNAL OF ANIMAL ECOLOGY;J ANIM ECOL;14909;4.474;4.265;145;0.01879;98.62
79;MICROSCOPY RESEARCH AND TECHNIQUE;MICROSC RES TECHNIQ;4509;1.147;1.055;143;0.00399;95.1
80;BIOCONTROL SCIENCE AND TECHNOLOGY;BIOCONTROL SCI TECHN;1823;0.919;0.765;142;0.00202;96.48
81;BIOESSAYS;BIOESSAYS;9199;4.441;4.316;141;0.01691;76.6
81;JOURNAL OF NATURAL HISTORY;J NAT HIST;2906;0.834;0.779;141;0.00325;95.74
83;JOURNAL OF THERMAL BIOLOGY;J THERM BIOL;2614;2.157;1.815;139;0.00343;96.4
84;Egyptian Journal of Biological Pest Control;EGYPT J BIOL PEST CO;151;0.184;0.051;138;0.00019;98.55
84;WETLANDS;WETLANDS;4092;1.573;1.341;138;0.00412;99.28
86;CHRONOBIOLOGY INTERNATIONAL;CHRONOBIOL INT;4215;2.562;1.964;136;0.00708;96.32
87;BIOMETRICS;BIOMETRICS;19952;1.329;1.239;135;0.01441;100
87;Revista Mexicana de Biodiversidad;REV MEX BIODIVERS;750;0.596;0.491;135;0.00192;99.26
89;LANDSCAPE AND URBAN PLANNING;LANDSCAPE URBAN PLAN;11099;4.563;4.242;134;0.01405;95.52
90;TURKISH JOURNAL OF BIOLOGY;TURK J BIOL;1049;1.038;0.82;133;0.00147;83.46
91;GLOBAL ECOLOGY AND BIOGEOGRAPHY;GLOBAL ECOL BIOGEOGR;9151;6.045;5.727;130;0.02363;98.46
91;JOURNAL OF MATHEMATICAL BIOLOGY;J MATH BIOL;4399;1.566;1.463;130;0.00653;100
91;SYSTEMATIC AND APPLIED ACAROLOGY;SYST APPL ACAROL-UK;587;1.467;1.148;130;0.00168;99.23
94;JOURNAL OF CHEMICAL ECOLOGY;J CHEM ECOL;9740;2.385;2.154;129;0.00782;95.35
95;ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA;ENTOMOL EXP APPL;5042;1.162;1.102;128;0.00408;95.31
95;Ecohydrology;ECOHYDROLOGY;1864;2.852;2.59;128;0.00596;98.44
97;JOURNAL OF WILDLIFE MANAGEMENT;J WILDLIFE MANAGE;9667;1.897;1.638;127;0.00736;100
98;SAUDI JOURNAL OF BIOLOGICAL SCIENCES;SAUDI J BIOL SCI;1095;2.564;2.441;126;0.00247;92.06
99;BRAZILIAN JOURNAL OF BIOLOGY;BRAZ J BIOL;1932;0.479;0.434;125;0.00233;100
99;COMPUTATIONAL BIOLOGY AND CHEMISTRY;COMPUT BIOL CHEM;1025;1.331;1.264;125;0.00178;100
101;CONSERVATION BIOLOGY;CONSERV BIOL;19131;4.842;4.594;123;0.0195;91.87
101;ECOGRAPHY;ECOGRAPHY;9164;4.902;4.675;123;0.01868;96.75
101;INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY;INSECT BIOCHEM MOLEC;7130;3.756;3.329;123;0.00814;100
101;JOURNAL OF ASIA-PACIFIC ENTOMOLOGY;J ASIA-PAC ENTOMOL;852;1.046;0.87;123;0.00199;97.56
101;PLANT ECOLOGY;PLANT ECOL;5636;1.615;1.537;123;0.0054;97.56
106;RADIATION RESEARCH;RADIAT RES;8394;2.539;2.194;122;0.0079;94.26
107;JOURNAL OF INVERTEBRATE PATHOLOGY;J INVERTEBR PATHOL;5424;2.379;2.107;121;0.00671;98.35
107;Molecular Ecology Resources;MOL ECOL RESOUR;8647;7.332;6.737;121;0.01987;100
107;TURKISH JOURNAL OF ZOOLOGY;TURK J ZOOL;834;0.785;0.742;121;0.00166;97.52
110;Science China-Life Sciences;SCI CHINA LIFE SCI;1621;2.781;2.434;120;0.0045;60.83
111;EXPERIMENTAL AND APPLIED ACAROLOGY;EXP APPL ACAROL;3318;1.76;1.512;119;0.00396;96.64
111;JOURNAL OF VEGETATION SCIENCE;J VEG SCI;7461;2.924;2.743;119;0.00919;100
113;Ecosystem Services;ECOSYST SERV;1797;4.072;3.139;118;0.00522;97.46
114;FLORA;FLORA;2304;1.125;0.952;117;0.00251;100
114;INTERCIENCIA;INTERCIENCIA;832;0.221;0.171;117;0.00067;99.15
114;PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY;PESTIC BIOCHEM PHYS;3901;2.59;2.311;117;0.00501;98.29
114;ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY;ZOOL J LINN SOC-LOND;4245;2.711;2.588;117;0.00624;98.29
118;CONSERVATION GENETICS;CONSERV GENET;3753;1.515;1.371;116;0.00559;99.14
119;ANIMAL COGNITION;ANIM COGN;2811;2.209;1.849;114;0.00652;98.25
119;HEREDITY;HEREDITY;9365;3.961;3.849;114;0.01398;95.61
119;ZOOLOGICHESKY ZHURNAL;ZOOL ZH;932;0.091;0.091;114;0.00054;100
122;Wilson Journal of Ornithology;WILSON J ORNITHOL;759;0.647;0.574;112;0.00174;100
123;DIVERSITY AND DISTRIBUTIONS;DIVERS DISTRIB;6643;4.391;4.152;110;0.01525;98.18
123;JOURNAL OF ORNITHOLOGY;J ORNITHOL;2567;1.468;1.385;110;0.00577;100
125;AMERICAN JOURNAL OF HUMAN BIOLOGY;AM J HUM BIOL;2959;1.78;1.696;109;0.0051;99.08
125;INTEGRATIVE AND COMPARATIVE BIOLOGY;INTEGR COMP BIOL;4586;2.382;2.291;109;0.00821;100
127;COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY;COMP BIOCHEM PHYS B;6405;1.757;1.597;108;0.003;99.07
127;Freshwater Science;FRESHW SCI;1360;2.197;2.004;108;0.00521;100
127;JOURNAL OF HELMINTHOLOGY;J HELMINTHOL;1654;1.42;1.266;108;0.002;97.22
127;JOURNAL OF RADIATION RESEARCH;J RADIAT RES;2270;1.788;1.659;108;0.00461;96.3
127;SOUTHWESTERN ENTOMOLOGIST;SOUTHWEST ENTOMOL;448;0.482;0.295;108;0.00059;100
132;URBAN ECOSYSTEMS;URBAN ECOSYST;1666;1.97;1.745;107;0.00268;99.07
133;JOURNAL OF HUMAN EVOLUTION;J HUM EVOL;8809;3.932;3.426;104;0.01321;100
133;JOURNAL OF INSECT SCIENCE;J INSECT SCI;1959;0.843;0.807;104;0.00431;100
133;PLANT SYSTEMATICS AND EVOLUTION;PLANT SYST EVOL;4322;1.239;1.148;104;0.00431;100
136;RESTORATION ECOLOGY;RESTOR ECOL;4174;1.724;1.548;102;0.00465;91.18
137;CRYOBIOLOGY;CRYOBIOLOGY;3949;1.996;1.688;101;0.00348;100
137;JOURNAL OF INSECT CONSERVATION;J INSECT CONSERV;1705;1.462;1.203;101;0.00375;99.01
137;JOURNAL OF INSECT PHYSIOLOGY;J INSECT PHYSIOL;8119;2.227;2.059;101;0.00852;94.06
140;ECOSYSTEMS;ECOSYSTEMS;8430;4.198;4.101;100;0.01174;100
140;JOURNAL OF ZOOLOGY;J ZOOL;7960;2.186;2.095;100;0.00526;97
142;ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY;ACTA OECOL;2782;1.652;1.616;99;0.00379;97.98
142;CANADIAN JOURNAL OF ZOOLOGY;CAN J ZOOL;10589;1.347;1.307;99;0.00407;98.99
144;BIOSYSTEMS;BIOSYSTEMS;2471;1.652;1.372;98;0.00284;90.82
144;Marine Biology Research;MAR BIOL RES;1025;1.161;1.089;98;0.0029;97.96
144;RAFFLES BULLETIN OF ZOOLOGY;RAFFLES B ZOOL;1242;0.851;0.649;98;0.00162;98.98
144;Zebrafish;ZEBRAFISH;1126;2.242;1.85;98;0.00244;93.88
148;Current Opinion in Insect Science;CURR OPIN INSECT SCI;665;3.66;3.447;97;0.00287;98.97
148;ETHOLOGY;ETHOLOGY;4071;1.398;1.329;97;0.00471;93.81
148;JOURNAL OF AVIAN BIOLOGY;J AVIAN BIOL;3010;2.228;2.067;97;0.0037;98.97
151;COPEIA;COPEIA;5570;0.98;0.855;95;0.00197;98.95
151;Evolutionary Applications;EVOL APPL;2890;5.671;5.262;95;0.01033;80
153;AMERICAN JOURNAL OF PRIMATOLOGY;AM J PRIMATOL;4092;2.005;1.721;94;0.00548;86.17
153;BMC BIOLOGY;BMC BIOL;4588;6.779;6.692;94;0.0161;97.87
153;COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY;COMP BIOCHEM PHYS C;6083;2.416;2.289;94;0.00413;100
153;Contemporary Problems of Ecology;CONTEMP PROBL ECOL+;268;0.306;0.244;94;0.00047;100
153;Ecological Informatics;ECOL INFORM;1364;2.02;1.841;94;0.00329;98.94
153;Fungal Ecology;FUNGAL ECOL;1675;3.219;2.858;94;0.00449;97.87
153;NEOTROPICAL ENTOMOLOGY;NEOTROP ENTOMOL;1605;0.756;0.705;94;0.00198;100
153;WILDLIFE SOCIETY BULLETIN;WILDLIFE SOC B;3376;0.967;0.876;94;0.00228;100
161;AUSTRAL ECOLOGY;AUSTRAL ECOL;3615;1.708;1.63;93;0.00397;98.92
162;AMERICAN BIOLOGY TEACHER;AM BIOL TEACH;552;0.318;0.152;92;0.00029;100
162;ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA;ANN ENTOMOL SOC AM;5198;1.222;1.128;92;0.00284;98.91
162;INTERNATIONAL JOURNAL OF RADIATION BIOLOGY;INT J RADIAT BIOL;4417;1.992;1.906;92;0.00435;91.3
162;TAXON;TAXON;4654;2.447;2.08;92;0.00599;97.83
166;BULLETIN OF ENTOMOLOGICAL RESEARCH;B ENTOMOL RES;3284;1.758;1.661;90;0.00294;96.67
166;BULLETIN OF MATHEMATICAL BIOLOGY;B MATH BIOL;3434;1.263;1.175;90;0.00443;97.78
166;ECOLOGICAL RESEARCH;ECOL RES;2862;1.283;1.234;90;0.00364;100
166;EUROPEAN JOURNAL OF WILDLIFE RESEARCH;EUR J WILDLIFE RES;1465;1.264;1.093;90;0.00319;96.67
166;SYSTEMATIC BOTANY;SYST BOT;2673;1.24;1.143;90;0.00304;100
171;BIOTROPICA;BIOTROPICA;5636;1.73;1.624;89;0.00483;93.26
171;Marine Biodiversity;MAR BIODIVERS;439;1.646;1.479;89;0.00145;100
173;Archives of Biological Sciences;ARCH BIOL SCI;725;0.352;0.299;88;0.00137;100
173;BIOLOGY BULLETIN;BIOL BULL+;421;0.299;0.241;88;0.00056;100
173;JOURNAL OF HERPETOLOGY;J HERPETOL;3099;0.911;0.876;88;0.00219;98.86
173;JOURNAL OF PEST SCIENCE;J PEST SCI;1505;3.728;3.122;88;0.00396;88.64
177;NEMATOLOGY;NEMATOLOGY;1647;1.162;0.686;87;0.0015;98.85
178;Conservation Genetics Resources;CONSERV GENET RESOUR;1379;0.47;0.437;86;0.00517;100
178;Insect Science;INSECT SCI;1313;2.026;1.974;86;0.00322;95.35
180;BEHAVIOUR;BEHAVIOUR;5081;1.394;1.301;85;0.00329;91.76
180;BIOSCIENCE;BIOSCIENCE;15467;5.378;5.259;85;0.01364;100
180;EUROPEAN JOURNAL OF SOIL BIOLOGY;EUR J SOIL BIOL;2564;2.445;2.274;85;0.00352;100
180;ORYX;ORYX;2502;2.191;1.917;85;0.00358;100
184;JOURNAL OF APPLIED ENTOMOLOGY;J APPL ENTOMOL;2698;1.641;1.494;84;0.00347;98.81
185;BIOELECTROCHEMISTRY;BIOELECTROCHEMISTRY;3916;3.346;3.073;83;0.00382;98.8
185;CANADIAN ENTOMOLOGIST;CAN ENTOMOL;3163;1.264;1.14;83;0.00147;97.59
185;MAMMALIAN BIOLOGY;MAMM BIOL;1157;1.429;1.331;83;0.00269;100
188;BIOLOGICAL RHYTHM RESEARCH;BIOL RHYTHM RES;494;0.624;0.476;82;0.00059;100
188;MARINE MAMMAL SCIENCE;MAR MAMMAL SCI;3059;1.66;1.407;82;0.00362;100
188;RUSSIAN JOURNAL OF ECOLOGY;RUSS J ECOL+;681;0.43;0.349;82;0.00064;100
188;SOUTHEASTERN NATURALIST;SOUTHEAST NAT;549;0.369;0.337;82;0.00082;100
192;JOURNAL OF COMPARATIVE PHYSIOLOGY B-BIOCHEMICAL SYSTEMIC AND ENVIRONMENTAL PHYSIOLOGY;J COMP PHYSIOL B;3483;1.947;1.855;81;0.00439;87.65
193;APPLIED ENTOMOLOGY AND ZOOLOGY;APPL ENTOMOL ZOOL;1848;0.888;0.797;80;0.00134;98.75
193;VETERINARY AND COMPARATIVE ORTHOPAEDICS AND TRAUMATOLOGY;VET COMP ORTHOPAED;1025;0.917;0.683;80;0.00175;95
193;ZOOLOGICAL SCIENCE;ZOOL SCI;2257;0.755;0.703;80;0.00209;96.25
196;ACTA ZOOLOGICA BULGARICA;ACTA ZOOL BULGAR;338;0.413;0.338;79;0.00072;93.67
196;BOLETIM DO INSTITUTO DE PESCA;BOL INST PESCA;494;0.295;0.237;79;0.00047;98.73
196;MAMMALIA;MAMMALIA;1314;0.805;0.754;79;0.00119;97.47
199;ECOLOGICAL ENTOMOLOGY;ECOL ENTOMOL;3917;1.771;1.661;77;0.00351;90.91
199;IBIS;IBIS;4466;2.279;2.133;77;0.00425;98.7
199;Journal of Plant Ecology;J PLANT ECOL;1034;1.754;1.631;77;0.00296;97.4
202;BASIC AND APPLIED ECOLOGY;BASIC APPL ECOL;2734;2.292;2.247;76;0.00487;98.68
202;Journal of the American Association for Laboratory Animal Science;J AM ASSOC LAB ANIM;1132;1.195;0.994;76;0.00257;98.68
204;JOURNAL OF HEREDITY;J HERED;6281;2.432;2.308;75;0.00483;97.33
204;WATERBIRDS;WATERBIRDS;1107;0.678;0.492;75;0.00111;98.67
206;JOURNAL OF STORED PRODUCTS RESEARCH;J STORED PROD RES;2313;1.75;1.274;74;0.00198;98.65
207;AFRICAN JOURNAL OF ECOLOGY;AFR J ECOL;1684;0.69;0.621;73;0.00143;97.26
207;JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY;J COMP PHYSIOL A;5156;2.429;2.229;73;0.00504;94.52
209;APIDOLOGIE;APIDOLOGIE;3445;2.196;1.937;72;0.00286;88.89
209;EUROPEAN JOURNAL OF ENTOMOLOGY;EUR J ENTOMOL;1698;1.167;1.118;72;0.00205;97.22
209;TRENDS IN ECOLOGY & EVOLUTION;TRENDS ECOL EVOL;32332;15.268;14.514;72;0.0392;8.33
212;BIOMETRIKA;BIOMETRIKA;18608;1.448;1.357;71;0.01564;100
212;ENVIRONMENTAL BIOLOGY OF FISHES;ENVIRON BIOL FISH;5300;1.307;1.246;71;0.00454;100
212;INSECTES SOCIAUX;INSECT SOC;2320;1.7;1.5;71;0.00184;90.14
212;SYSTEMATIC BIOLOGY;SYST BIOL;14988;8.917;8.045;71;0.02672;100
212;Tropical Conservation Science;TROP CONSERV SCI;484;1.238;1.131;71;0.00162;97.18
217;European Journal of Taxonomy;EUR J TAXON;145;0.649;0.485;70;0.00055;100
217;INSECT MOLECULAR BIOLOGY;INSECT MOL BIOL;3360;2.844;2.656;70;0.00364;98.57
217;Interface Focus;INTERFACE FOCUS;1272;2.693;2.544;70;0.00586;58.57
217;JOURNAL OF APICULTURAL RESEARCH;J APICULT RES;1644;1.364;1.186;70;0.00229;97.14
217;Neotropical Ichthyology;NEOTROP ICHTHYOL;1271;1.203;0.973;70;0.00246;100
222;BIOCONTROL;BIOCONTROL;1919;1.918;1.769;69;0.00321;95.65
222;EVOLUTIONARY ECOLOGY;EVOL ECOL;3557;1.818;1.788;69;0.00474;98.55
222;EXCLI Journal;EXCLI J;514;1.462;1.348;69;0.00111;89.86
222;JOURNAL FOR NATURE CONSERVATION;J NAT CONSERV;1009;1.657;1.577;69;0.00241;94.2
226;Biology Direct;BIOL DIRECT;1507;2.856;2.804;68;0.00516;91.18
226;Current Zoology;CURR ZOOL;1040;2.181;2.047;68;0.004;98.53
228;ANNALS OF HUMAN BIOLOGY;ANN HUM BIOL;1865;1.24;1.173;67;0.00259;92.54
228;BIRD STUDY;BIRD STUDY;1571;0.925;0.791;67;0.00149;100
228;Open Life Sciences;OPEN LIFE SCI;35;0.448;0.431;67;8e-05;80.6
231;BioScience Trends;BIOSCI TRENDS;614;1.545;1.445;66;0.00123;83.33
231;JOURNAL OF BIOSCIENCES;J BIOSCIENCES;2495;1.422;1.385;66;0.00341;80.3
231;ZOO BIOLOGY;ZOO BIOL;1517;0.813;0.633;66;0.00121;100
234;COMPTES RENDUS BIOLOGIES;CR BIOL;2111;1.1;1.039;65;0.00264;100
234;ITALIAN JOURNAL OF ZOOLOGY;ITAL J ZOOL;966;0.921;0.858;65;0.0013;98.46
234;ZOOLOGY;ZOOLOGY;1296;1.51;1.439;65;0.00196;81.54
237;APPLIED VEGETATION SCIENCE;APPL VEG SCI;1724;2.474;2.195;64;0.00269;100
237;ASTROBIOLOGY;ASTROBIOLOGY;2414;2.603;2.14;64;0.00554;90.63
237;JOURNAL OF MOLLUSCAN STUDIES;J MOLLUS STUD;1506;1.25;1.109;64;0.00135;96.88
237;JOURNAL OF SOIL AND WATER CONSERVATION;J SOIL WATER CONSERV;3285;2.229;1.962;64;0.00277;100
241;BIOTA NEOTROPICA;BIOTA NEOTROP;1268;0.734;0.67;63;0.00232;100
241;CHEMISTRY AND ECOLOGY;CHEM ECOL;1041;1.463;1.179;63;0.00113;96.83
241;COMPARATIVE MEDICINE;COMPARATIVE MED;1241;0.832;0.714;63;0.00145;100
244;NATURAL HISTORY;NAT HIST;356;0.051;0.051;62;4e-05;100
245;AFRICAN ENTOMOLOGY;AFR ENTOMOL;494;0.813;0.613;61;0.00082;96.72
245;ENTOMOLOGICAL SCIENCE;ENTOMOL SCI;626;1.262;1.206;61;0.0014;98.36
245;Rangeland Ecology & Management;RANGELAND ECOL MANAG;1676;1.94;1.481;61;0.00246;100
248;COLEOPTERISTS BULLETIN;COLEOPTS BULL;682;0.496;0.41;60;0.00065;100
248;Polar Science;POLAR SCI;364;1.118;1.044;60;0.00098;100
248;SOCIOBIOLOGY;SOCIOBIOLOGY;987;0.699;0.5;60;9e-04;98.33
251;PRIMATES;PRIMATES;1838;1.196;0.98;59;0.00128;96.61
252;HELMINTHOLOGIA;HELMINTHOLOGIA;455;0.472;0.38;58;0.00059;98.28
252;REVISTA BRASILEIRA DE ENTOMOLOGIA;REV BRAS ENTOMOL;1179;0.711;0.632;58;0.00149;94.83
